request, may i have the address and phone number
inform, i dont care
inform, afghan
request, phone number
null(), noise
inform, gastropub
inform, west
inform, south part of town
thankyou, thank you good bye
request, alright whats the address
inform, swedish food
inform, any
thankyou, thank you good bye
null(), unintelligible
inform, um east part of town
request, and whats the phone number
inform, expensive
inform, i am looking for a moderate priced restaurant in the west of town
thankyou, thank you good bye
inform, swedish
thankyou, thank you good bye
thankyou, okay thank you good bye
hello, hello
inform, european food
inform, i dont care
request, whats the phone number
inform, im looking for a cheap restaurant in the west part of town
inform, expensive
thankyou, thank you good bye
thankyou, thank you goodbye
inform, doesnt matter
inform, i dont care
request, okay can i get the address
thankyou, thank you good bye
thankyou, thank you good bye
request, address
inform, find a restaurant in the center of town
request, can i get the phone number
request, what is the address
inform, doesnt matter
inform, restaurant in the north part of town
thankyou, thank you good bye
null(), sil
request, what type of food is served
thankyou, thank you good bye
inform, spanish
request, can i have the address please
thankyou, thank you good bye
request, and whats their post code
inform, um i need a cheap restaurant
inform, dont matter
request, what area
thankyou, thank you good bye
request, what is the address
inform, modern european food
affirm, yes
affirm, yes
inform, expensive
inform, any
thankyou, thank you good bye
request, what is the address and phone number
inform, afghan food
thankyou, thank you good bye
request, what is the address and the type of food
request, and whats the price range
request, what is the address
thankyou, thank you good bye
null(), sil
inform, any type of food
negate, no
inform, expensive
inform, any area
reqalts, what about british food
negate, no
inform, the south
thankyou, thank you good bye
thankyou, thank you good bye
thankyou, thank you good bye
inform, cheap
request, price
request, may i have the address phone number and postcode
request, address
request, may i have the postcode
null(), static
inform, any
thankyou, thank you good bye
request, can i get the address
null(), sil
inform, spanish
inform, in the west part of town
inform, dont care moderate
null(), sil
inform, south
inform, european
request, what type of food
inform, dont care
inform, russian food
request, where is it located
affirm, yes
thankyou, thank you goodbye
affirm, right
reqalts, how about italian food
inform, i dont care
inform, west
inform, i am looking for a cheap restaurant in the east part of town
null(), medium
inform, cheap restaurant
inform, south
inform, thai food
null(), unintelligible
thankyou, thank you good bye
inform, cheap
inform, chinese
inform, indian food
request, can i have the address
