inform, im looking for a restaurant in the east part of town and it should serve greek food
null(), noise
request, whats their address
thankyou, thank you good bye
request, uh no i need the phone number
inform, unusual food
null(), inaudible
null(), sil
inform, i am looking for an expensive restaurant that serves australian food
inform, caribbean food
thankyou, thank you good bye
thankyou, thank you good bye
thankyou, thank you good bye
request, type of food
thankyou, thank you good bye
inform, bistro food
affirm, yes
inform, ostro asian
reqalts, another please
request, phone number
inform, um any type of food
null(), sil
inform, im looking for a restaurant with thai type
request, what is the address
inform, im looking for a moderately priced restaurant in the
inform, chinese food
inform, im looking for a restaurant in the center part of town
request, whats the phone number
request, whats the address
inform, im looking for a restaurant that serves world food
affirm, yes
request, phone number
inform, south
null(), unintelligible
inform, it doesnt matter
inform, any
inform, dont care
inform, indian
reqalts, is there anything else
inform, expensive
inform, and expensive restaurant that serves tuscan food
thankyou, thank you good bye
inform, chinese
inform, cheap
thankyou, thank you goodbye
thankyou, thank you good bye
request, address
request, phone number
inform, i am looking for a moderately priced restaurant in the
inform, moderate
thankyou, thank you good bye
inform, doesnt matter
request, can i have the address and phone number
inform, i need restaurant serves spanish food
request, phone number
request, address
inform, spanish food
inform, yea i would like korean food
inform, any
thankyou, thank you goodbye
thankyou, thank you good bye
inform, i want to find an expensive restaurant in the south part of town
inform, i want to find a moderately priced restaurant
inform, id like a cheap restaurant on the south of town
confirm, is it in the south part of town
inform, noise im looking for a cheap restaurant in the south part of town
thankyou, thank you good bye
affirm, yes
thankyou, thank you good bye
request, phone number
inform, chinese
request, could i have the address and phone number please
thankyou, thank you good bye
request, what is the address and phone number
inform, vietnamese
reqalts, what about chinese food
affirm, yes
inform, id like a hungarian food restaurant in the centre part of town
bye, good bye
reqalts, are there any other restaurants
bye, goodbye
inform, any price range
inform, is there a restaurant serving indian type of food
reqalts, what about thai food
inform, world food
inform, thai
inform, find me a cheap vietnamese restaurant
inform, inexpensive
inform, i want to find a restaurant serving world food
reqalts, and anything else
inform, im looking for a cheap restaurant
inform, can i have a british restaurant
inform, cheap restaurant in west part of town
inform, barbecue food
request, address
request, whats their phone number
inform, north
thankyou, thank you good bye
reqalts, what about chinese food
thankyou, thank you good bye
null(), okay
request, and the telephone number
inform, mexican
request, address
request, and phone number
bye, good bye
null(), sil
inform, looking for a moderately priced creative food
inform, doesnt matter
reqalts, what about international food
request, address
inform, is there any expensive restaurant
reqalts, how about french
inform, doesnt matter
thankyou, thank you good bye
request, phone number
inform, moderately priced in the south part of town
request, price range
reqalts, is there another place
inform, doesnt matter
inform, cheap restaurant serving indian food
affirm, yes korean food
inform, east
inform, dont care
inform, korean
inform, moderate
reqalts, anything else
inform, south south
reqalts, how about north american food
null(), unintelligible
reqalts, uh how about italian
request, the phone number
reqalts, how about portuguese
inform, dont care
inform, oh anything
inform, serving mexican food
reqalts, what about indian food
inform, malaysian food
inform, international food
request, what type of food
inform, any
null(), unintelligible
thankyou, thank you goodbye
reqalts, how about modern european
inform, i dont care
inform, i would like a restaurant that serves gastropub food
inform, im looking for a restaurant in the west part of town
request, post code
reqalts, what about in the west area
inform, moderately priced restaurant in east part of town
inform, indian food
thankyou, thank you good bye
reqalts, how about italian food
inform, polish food
request, wha what type of food
thankyou, thank you good bye
inform, looking for something with gastropub on the east side of town
request, could i have the address phone number and area
request, can i get the address and phone number
inform, im looking for an expensive restaurant in the south part of town
inform, im looking for an expensive restaurant in the east part of town
reqalts, is there anything else
null(), um
deny, wrong
inform, british food
request, phone number
affirm, right
inform, north
reqalts, what about european food
inform, north
thankyou, thank you good bye
request, whats the phone number
request, what is the address
affirm, yes
reqalts, how about vietnamese food
inform, expensive
thankyou, thank you good bye
thankyou, thank you good bye
thankyou, thank you good bye
inform, spanish
thankyou, thank you good bye
thankyou, thank you good bye
request, can i have the address
thankyou, thank you
null(), unintelligible
inform, caribbean food
negate, no
request, phone number
null(), sil
reqalts, can you give me a restaurant in east part of town and
thankyou, thank you
reqalts, okay how about a venue with italian food
request, address
inform, moderate
inform, im looking for a moderately priced restaurant that serves
null(), now
affirm, yes
thankyou, thank you good bye
thankyou, thank you good bye
null(), unintelligible
inform, im looking for moderately priced restaurant in the north part
request, what is the address
request, address
null(), ad
null(), unintelligible
inform, asian oriental
inform, i dont care
inform, north
null(), static
inform, any kind
inform, i want a cheap restaurant in the south part of town
inform, i want a cheap restaurant in the north
request, price range
inform, doesnt matter
bye, good bye
inform, south part of town
request, phone number
affirm, yes
inform, moderately priced restaurant serving indian food
reqalts, anything else
reqalts, do you have anything else
inform, center
inform, i need a persian restaurant in the south part of town
request, phone number
reqalts, um how about european food
inform, bistro food
inform, i dont care
inform, change that to mediterranean food
inform, doesnt matter
request, and the address
request, type of food
affirm, yeah
inform, id like a international restaurant in the north part of town
inform, indian
request, what area is it in
inform, im looking for an expensive restaurant serving french food
request, phone number
request, address and phone number
null(), unintelligible
inform, vegitarian
inform, indian
inform, cheap price range
thankyou, thank you good bye
inform, im looking for expensive restaurants that serve mediterranean food
null(), noise
deny, i dont want chinese
null(), okay um can i have the other
inform, irish food
inform, uh are there any that serves mediterranean
reqalts, how about asian food
reqalts, what about international food
inform, any range
inform, gastropub
thankyou, thank you good bye
inform, expensive
inform, an expensive restaurant
request, whats the address
thankyou, thank you goodbye
inform, jamaican food
inform, im looking for cheap food in the north of town
reqalts, how about asian oriental food
inform, asian
inform, it doesnt matter
inform, im looking for singaporean food
null(), i dont
inform, italian food
negate, no
request, whats the phone number
request, phone number
null(), noise
reqalts, do you have anything else
thankyou, thank you good bye
inform, dont care
request, what is the address
reqalts, how about chinese
request, yea whats the address
inform, i want to find a cheap restaurant and it should serve portuguese food
thankyou, thank you good bye
request, price range
request, can i have the address
inform, i dont care
inform, moderately priced restaurant
inform, european food
thankyou, thank you good bye
reqalts, how about vietnamese
inform, any
reqalts, how about chinese food
inform, south
thankyou, thank you good bye
inform, i dont care
request, phone number and post code
request, phone number
request, post code
request, and the post code
null(), first one
request, the price range
affirm, yes
inform, cheap price range
inform, im looking for a moderately priced restaurant that serves austria asian food
inform, thai food
inform, cheap restaurant in the north
inform, moderately priced restaurant in the east part of town
inform, expensive indonesian
inform, i want to find a restaurant in the center and it should serve corsica food
negate, no
inform, east
inform, i dont care
thankyou, thank you good bye
inform, vietnamese food
inform, expensive
request, price range
inform, can i get a moderately priced restaurant in the north
inform, in the east
request, may i have the phone number please
request, whats the phone number
request, could i have the address please
affirm, yea
thankyou, thank you good bye
inform, north american food
thankyou, thank you good bye
inform, um im looking for something in the west thats moderately priced
request, phone number
request, what is the phone number
null(), whats
request, phone number
null(), sil
inform, any food
request, whats the address
inform, breath id like a moderately priced restaurant that serves thai food
request, may i have the address
inform, iam looking for a cheap restaurant and it should be in the north part of town
inform, indian food
inform, scandinavian
request, what is the address
request, what is the phone number
reqalts, anything else
hello, hi im looking for a restaurant in the west part of town
request, the phone number
negate, no not noise
inform, i am looking for a moderately priced restaurant serving cantonese food
inform, im looking for thai food
null(), sil
request, address
reqalts, how about asian oriental type of food
null(), unintelligible
null(), what
request, whats its address
null(), knocking
inform, and moderately priced
thankyou, thank you good bye
inform, serves turkish food
thankyou, thank you good bye
request, what type of food do they serve
reqalts, anything else
request, what is the address
inform, asian food
request, post code
inform, okay international food
inform, it doesnt matter
inform, dont care
thankyou, thank you good bye
inform, serving portuguese food
inform, any
request, address
inform, i want to find a cheap restaurant in the north part of town
inform, im looking for a moderately priced restaurant
reqalts, how about indian food
inform, cheap
affirm, yes
inform, find moderately priced brazilian restaurant
thankyou, thank you good bye
request, what is the address and phone number
inform, i dont care
inform, im looking for a restaurant in any area that serves bistro food
inform, noise ah gastropub food
inform, russian
request, whats the price range
inform, any
inform, cantonese
inform, unusual
request, can i have the address
thankyou, good bye thank you
inform, im looking for a cheap restaurant in the south part of town
inform, italian
bye, good bye
thankyou, thank you good bye
request, what is the address and phone number
thankyou, thank you good bye
thankyou, thank you good bye
inform, portuguese food
thankyou, thank you good bye
reqalts, how about vietnamese food
inform, moderately priced restaurant halal food
thankyou, thank you good bye
request, whats the phone number
thankyou, thank you good bye
thankyou, thank you good bye
reqalts, is there anything else
request, what is the address
inform, i want a modern european restaurant
inform, indian
inform, east part of town
request, the address
inform, im looking for a restaurant in the north part of town that serves asian oriental food
inform, any kind
inform, in the north part o
inform, center
inform, moderate priced
inform, i would like to find a restaurant in the south part of town that serves
inform, im looking for a moderately priced restaurant and it should serve polynesian food
request, what type of food do they serve
thankyou, thank you good bye
inform, i dont care
inform, korean food
request, may i have the address
inform, expensive
inform, theres no such venue unintelligible indian type of food
null(), cough
confirm, is it moderately priced
inform, expensive
request, what is the address and phone number
bye, good bye
inform, im looking for a moderately priced restaurant in the south part of town
request, alright whats the address
thankyou, thank you good bye
inform, cheap
reqalts, how about indian food
inform, north part of town serving canapes food
inform, okay ah how bout portuguese food
inform, moderately priced
inform, for something moderately priced on the east part of town
thankyou, thank you goodbye
inform, im looking for a cheap restaurant in the north part of town
inform, spanish
inform, a cheap restaurant serving caribbean food
request, address
inform, doesnt matter
affirm, yes in the east part of town
inform, moderately priced
reqalts, okay do you have any restaurant that serves italian food
inform, restaurant in the north part of town that serves turkish food
confirm, does it serve swedish serve
inform, the west part of town
inform, french food
request, phone number
request, phone number
thankyou, thank you good bye
request, address
inform, any
request, address
inform, japanese food
null(), unintelligible
inform, any
inform, how bout asian oriental
inform, japanese food
reqalts, is there anything else
